Date,IBM,AAPL,MSFT
2017-10-23,144.2178192138672,151.03958129882812,75.97795867919922
2017-10-24,140.9004669189453,151.9390106201172,76.00686645507812
2017-10-25,138.74917602539062,151.2716827392578,75.78519439697266
2017-10-26,138.83958435058594,152.2388153076172,75.91047668457031
2017-10-27,138.91188049316406,157.69354248046875,80.77776336669922
2017-10-30,139.5265350341797,161.2429962158203,80.8548812866211
2017-10-31,139.25537109375,163.48675537109375,80.17057800292969
2017-11-01,139.228271484375,161.4073944091797,80.17057800292969
2017-11-02,138.6136016845703,162.5873260498047,81.00909423828125
2017-11-03,137.01368713378906,166.83311462402344,81.09581756591797
2017-11-06,136.34478759765625,168.52561950683594,81.41389465332031
2017-11-07,136.80577087402344,169.0672149658203,81.22112274169922
2017-11-08,137.004638671875,170.45025634765625,81.50064086914062
2017-11-09,137.21463012695312,170.1020965576172,81.04763793945312
2017-11-10,136.1738739013672,169.53909301757812,80.83560180664062
2017-11-13,135.4800262451172,168.8596649169922,80.89342498779297
2017-11-14,135.9274139404297,166.30690002441406,81.00909423828125
2017-11-15,134.29322814941406,164.11328125,80.37945556640625
2017-11-16,136.13734436035156,166.073974609375,80.59255981445312
2017-11-17,136.0004119873047,165.15187072753906,79.81763458251953
2017-11-20,137.40634155273438,164.9868927001953,79.94355773925781
2017-11-21,138.720947265625,168.0540313720703,81.09627532958984
2017-11-22,138.55662536621094,169.82058715820312,80.50537872314453
2017-11-24,138.6205291748047,169.83030700683594,80.65068817138672
2017-11-27,138.74835205078125,168.97613525390625,81.24156951904297
2017-11-28,139.19569396972656,167.98609924316406,82.21991729736328
2017-11-29,140.18165588378906,164.5015869140625,80.72816467285156
2017-11-30,140.56509399414062,166.8019561767578,81.53215789794922
2017-12-01,141.28631591796875,166.0254364013672,81.61935424804688
2017-12-04,142.83834838867188,164.8121337890625,78.53900146484375
2017-12-05,141.82496643066406,164.65684509277344,79.03302764892578
2017-12-06,140.6837921142578,164.04537963867188,80.18571472167969
2017-12-07,140.19993591308594,164.34629821777344,79.90481567382812
2017-12-08,141.3319549560547,164.394775390625,81.5224838256836
2017-12-11,141.8797149658203,167.5978546142578,82.55894470214844
2017-12-12,143.0939483642578,166.65635681152344,82.89797973632812
2017-12-13,140.5103302001953,167.20960998535156,82.6751937866211
2017-12-14,140.59249877929688,167.1610565185547,82.03587341308594
2017-12-15,139.22308349609375,168.8596649169922,84.12818908691406
2017-12-18,139.9808349609375,171.2377166748047,83.67290496826172
2017-12-19,139.88954162597656,169.41290283203125,83.14014434814453
2017-12-20,139.63389587402344,169.22850036621094,82.83985900878906
2017-12-21,138.31016540527344,169.86911010742188,82.82048797607422
2017-12-22,139.22308349609375,169.86911010742188,82.83016967773438
2017-12-26,139.52435302734375,165.55955505371094,82.72360229492188
2017-12-27,139.79824829101562,165.5886688232422,83.02391052246094
2017-12-28,140.62901306152344,166.05458068847656,83.03358459472656
2017-12-29,140.06298828125,164.25889587402344,82.8592300415039
2018-01-02,140.82073974609375,167.19989013671875,83.25637817382812
2018-01-03,144.6916046142578,167.1707763671875,83.64384460449219
2018-01-04,147.62213134765625,167.947265625,84.3800277709961
2018-01-05,148.34335327148438,169.85940551757812,85.42617797851562
2018-01-08,149.238037109375,169.22850036621094,85.51335906982422
2018-01-09,149.56668090820312,169.20909118652344,85.45523834228516
2018-01-10,149.88621520996094,169.17025756835938,85.06777954101562
2018-01-11,149.9044952392578,170.1311798095703,85.31963348388672
2018-01-12,148.93675231933594,171.88803100585938,86.7919921875
2018-01-16,149.58494567871094,171.01446533203125,85.58116149902344
2018-01-17,153.967041015625,173.83900451660156,87.3150634765625
2018-01-18,154.39610290527344,173.99429321289062,87.27632141113281
2018-01-19,148.23377990722656,173.21778869628906,87.17945861816406
2018-01-22,148.44378662109375,171.80067443847656,88.73900604248047
2018-01-23,151.77598571777344,171.83949279785156,89.0199203491211
2018-01-24,150.97259521484375,169.10232543945312,88.94242095947266
2018-01-25,151.0638885498047,166.08367919921875,89.43643188476562
2018-01-26,152.77110290527344,166.471923828125,91.11221313476562
2018-01-29,152.27810668945312,163.02621459960938,90.97660064697266
2018-01-30,149.3749542236328,162.06527709960938,89.83358764648438
2018-01-31,149.44798278808594,162.51177978515625,92.03245544433594
2018-02-01,148.2611846923828,162.8514862060547,91.30594635009766
